monika_kumari_video1.webm.mp4,987,CALM:98.7648 | SURPRISED:6.32927 | FEAR:5.9314857 | SAD:2.212111 | CONFUSED:0.2726666 | HAPPY:0.21053362 | ANGRY:0.152308 | DISGUSTED:0.080459855 | ,width: 0.20154972 | height: 0.48090193left: 0.4157571 | top: 0.29770407
monika_kumari_video1.webm.mp4,1449,CALM:93.35862 | SURPRISED:7.04479 | FEAR:6.055794 | SAD:2.375256 | HAPPY:1.5628991 | CONFUSED:1.1923089 | ANGRY:0.7834333 | DISGUSTED:0.41301182 | ,width: 0.20167418 | height: 0.48952517left: 0.42818218 | top: 0.30565566
monika_kumari_video1.webm.mp4,1975,CALM:93.0609 | SURPRISED:6.376457 | FEAR:5.9473457 | HAPPY:5.0969777 | SAD:2.3396804 | ANGRY:0.33051887 | DISGUSTED:0.2294641 | CONFUSED:0.22694556 | ,width: 0.20200996 | height: 0.47630328left: 0.42971736 | top: 0.30450737
monika_kumari_video1.webm.mp4,2437,CALM:98.2236 | SURPRISED:6.349455 | FEAR:5.911373 | SAD:2.2119796 | HAPPY:0.6998254 | CONFUSED:0.23567423 | ANGRY:0.23055595 | DISGUSTED:0.10584496 | ,width: 0.19941941 | height: 0.47733375left: 0.43231767 | top: 0.30399984
monika_kumari_video1.webm.mp4,2963,CALM:92.35271 | SURPRISED:6.415032 | FEAR:5.9514565 | SAD:4.6883907 | ANGRY:0.5711931 | HAPPY:0.51268804 | DISGUSTED:0.20261134 | CONFUSED:0.1836751 | ,width: 0.19395217 | height: 0.3523619left: 0.41829047 | top: 0.33938742
monika_kumari_video1.webm.mp4,3490,CALM:97.842255 | SURPRISED:6.302987 | FEAR:5.9716845 | SAD:2.3252208 | HAPPY:0.4618715 | CONFUSED:0.34186354 | ANGRY:0.29771566 | DISGUSTED:0.12445143 | ,width: 0.19919062 | height: 0.45991364left: 0.4011697 | top: 0.31833622
monika_kumari_video1.webm.mp4,3951,CALM:98.269066 | SURPRISED:6.3158593 | FEAR:5.92292 | SAD:2.3006315 | CONFUSED:0.41953245 | HAPPY:0.30456328 | ANGRY:0.17200273 | DISGUSTED:0.083744936 | ,width: 0.21837263 | height: 0.49589115left: 0.39851642 | top: 0.31379455
monika_kumari_video1.webm.mp4,4478,CALM:79.78607 | HAPPY:8.341158 | SAD:6.632569 | SURPRISED:6.6309853 | FEAR:6.0563703 | CONFUSED:0.8784624 | DISGUSTED:0.7789206 | ANGRY:0.77757907 | ,width: 0.2041215 | height: 0.48569506left: 0.41457167 | top: 0.31858996
monika_kumari_video1.webm.mp4,4939,CALM:92.200714 | SURPRISED:6.463807 | FEAR:5.988871 | SAD:3.4887269 | HAPPY:1.8645395 | CONFUSED:0.85095185 | ANGRY:0.53675205 | DISGUSTED:0.3332229 | ,width: 0.21984224 | height: 0.4989902left: 0.40827003 | top: 0.29230863
monika_kumari_video1.webm.mp4,5466,CALM:95.09293 | SURPRISED:6.416019 | FEAR:5.9751396 | SAD:2.3848262 | CONFUSED:1.9290106 | HAPPY:1.031576 | ANGRY:0.4094187 | DISGUSTED:0.19429226 | ,width: 0.21707067 | height: 0.51126283left: 0.4117004 | top: 0.29336727
monika_kumari_video1.webm.mp4,5993,CALM:99.095726 | SURPRISED:6.2847414 | FEAR:5.8904376 | SAD:2.266056 | HAPPY:0.1543247 | CONFUSED:0.13713206 | ANGRY:0.07632993 | DISGUSTED:0.042114995 | ,width: 0.22244473 | height: 0.5025006left: 0.41162744 | top: 0.2891865
monika_kumari_video1.webm.mp4,6454,FEAR:53.075504 | CALM:20.22351 | SURPRISED:9.229436 | CONFUSED:8.077867 | SAD:6.752373 | HAPPY:6.403115 | ANGRY:6.1111298 | DISGUSTED:2.7786584 | ,width: 0.22406626 | height: 0.5512916left: 0.40650874 | top: 0.2820628
